run_id,seed,network_type,network_kwargs,n_nodes,a0,ratio,beta_I,b,g_I,I0,X0_frac,init_method,strategy_choice_func,tau,policy,seeded_nodes,steps_run,converged,X_final,I_final,high_adoption,t_half,t_high,clusters_n_final,cluster_max_final,cluster_mean_final,X0,I0_grid,beta_I_grid,low_adoption
108,231,erdos_renyi,"{""p"": 0.05}",300,2.2,2.2,2.0,1.0,0.08,0.0,0.05,random,logit,0.2,none,15,1,True,0.0,0.0,0,,,0,0,0.0,0.05,0.0,2.0,1
109,232,erdos_renyi,"{""p"": 0.05}",300,2.2,2.2,2.0,1.0,0.08,0.0,0.05,random,logit,0.2,none,15,1,True,0.0,0.0,0,,,0,0,0.0,0.05,0.0,2.0,1
110,233,erdos_renyi,"{""p"": 0.05}",300,2.2,2.2,2.0,1.0,0.08,0.0,0.05,random,logit,0.2,none,15,1,True,0.0,0.0,0,,,0,0,0.0,0.05,0.0,2.0,1
111,234,erdos_renyi,"{""p"": 0.05}",300,2.2,2.2,2.0,1.0,0.08,0.0,0.05,random,logit,0.2,none,15,1,True,0.0,0.0,0,,,0,0,0.0,0.05,0.0,2.0,1
112,235,erdos_renyi,"{""p"": 0.05}",300,2.2,2.2,2.0,1.0,0.08,0.0,0.05,random,logit,0.2,none,15,1,True,0.0,0.0,0,,,0,0,0.0,0.05,0.0,2.0,1
113,236,erdos_renyi,"{""p"": 0.05}",300,2.2,2.2,2.0,1.0,0.08,0.0,0.05,random,logit,0.2,none,15,1,True,0.0,0.0,0,,,0,0,0.0,0.05,0.0,2.0,1
114,237,erdos_renyi,"{""p"": 0.05}",300,2.2,2.2,2.0,1.0,0.08,0.0,0.05,random,logit,0.2,none,15,1,True,0.0,0.0,0,,,0,0,0.0,0.05,0.0,2.0,1
115,238,erdos_renyi,"{""p"": 0.05}",300,2.2,2.2,2.0,1.0,0.08,0.0,0.05,random,logit,0.2,none,15,1,True,0.0,0.0,0,,,0,0,0.0,0.05,0.0,2.0,1
116,239,erdos_renyi,"{""p"": 0.05}",300,2.2,2.2,2.0,1.0,0.08,0.0,0.05,random,logit,0.2,none,15,1,True,0.0,0.0,0,,,0,0,0.0,0.05,0.0,2.0,1
117,240,erdos_renyi,"{""p"": 0.05}",300,2.2,2.2,2.0,1.0,0.08,0.0,0.05,random,logit,0.2,none,15,1,True,0.0,0.0,0,,,0,0,0.0,0.05,0.0,2.0,1
